dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws16,16,25,16,0.9948025763091571,0.9930477509735762,0.9962178517397882,0.9804256437204414,0.9882586625468991,0.9971336191104739,53601,85,447,22389,1374.36,34359,687.68,17192,random_forest_ws16_trees25_depth16.pkl,feature_list_ws16_trees25_depth16.txt
ws16,16,25,32,0.9995295435452254,0.9931392279344502,0.9966166585050973,0.9803380627080049,0.98841034018411,0.9946729256208977,53610,76,449,22387,3788.2,94705,1894.6,47365,random_forest_ws16_trees25_depth32.pkl,feature_list_ws16_trees25_depth32.txt
ws16,16,50,2,0.879215905908709,0.8741930425237187,0.7219626953453201,0.940707654580487,0.8169458652621171,0.967341134917977,45413,8273,1354,21482,6.72,336,3.86,193,random_forest_ws16_trees50_depth2.pkl,feature_list_ws16_trees50_depth2.txt
ws16,16,50,4,0.9877457294875385,0.9876636784192782,0.9994068801897983,0.9592310387108075,0.9789069133485275,0.9928569773094018,53673,13,931,21905,24.4,1220,12.7,635,random_forest_ws16_trees50_depth4.pkl,feature_list_ws16_trees50_depth4.txt
ws16,16,50,8,0.9912629515541865,0.99113980293249,0.9992339581831291,0.9710544753897355,0.9849427023185573,0.996670470843523,53669,17,661,22175,145.76,7288,73.38,3669,random_forest_ws16_trees50_depth8.pkl,feature_list_ws16_trees50_depth8.txt
ws16,16,50,16,0.9948697843741249,0.9932960455816627,0.9964417559934172,0.9810387108074969,0.9886802444890664,0.997270043756313,53606,80,433,22403,1331.68,66584,666.34,33317,random_forest_ws16_trees50_depth16.pkl,feature_list_ws16_trees50_depth16.txt
ws16,16,50,32,0.9998431811817418,0.9932437730325919,0.9970602645761881,0.9802504816955684,0.9885839203303376,0.9952141807966133,53620,66,451,22385,3792.48,189624,1896.74,94837,random_forest_ws16_trees50_depth32.pkl,feature_list_ws16_trees50_depth32.txt
ws32,32,1,2,0.9009389671361502,0.8988002086593636,0.8520573277854832,0.8016528925619835,0.8260869565217391,0.8866506942088809,25245,1600,2280,9215,5.0,5,3.0,3,random_forest_ws32_trees1_depth2.pkl,feature_list_ws32_trees1_depth2.txt
ws32,32,1,4,0.9832215515314107,0.9822378716744914,0.9965105601469237,0.9440626359286647,0.969577842305115,0.9732029903435304,26807,38,643,10852,17.0,17,9.0,9,random_forest_ws32_trees1_depth4.pkl,feature_list_ws32_trees1_depth4.txt
ws32,32,1,8,0.990286161412922,0.9893322900365153,0.9930617327877602,0.9712048716833406,0.982011698992831,0.9901943648760616,26767,78,331,11164,95.0,95,48.0,48,random_forest_ws32_trees1_depth8.pkl,feature_list_ws32_trees1_depth8.txt
